pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	506	1892	1254	1189	797	694	480	402	223	77	76	12	3
home---secondary	268	394	334	628	926	1332	1645	1902	1959	2005	1688	1674	9555
home---work	807	1012	749	1302	2403	3218	3883	4357	4754	4798	4268	4035	16609
pt interaction---home	497	1868	1288	1208	774	650	471	440	234	79	78	12	6
pt interaction---pt interaction	11333	15569	1329	31	0	0	0	0	0	0	0	0	0
pt interaction---secondary	763	930	428	301	197	160	60	16	13	16	9	3	0
pt interaction---work	1021	1423	763	558	460	360	78	18	10	7	11	0	0
secondary---home	256	398	343	628	924	1335	1648	1899	1964	2004	1688	1671	9549
secondary---pt interaction	809	962	372	293	200	159	46	18	10	17	10	3	0
work---home	802	949	817	1304	2405	3221	3883	4356	4764	4796	4265	4030	16606
work---pt interaction	1032	1428	710	538	538	340	82	13	8	6	11	0	0

average leg duration: 2486.1320361657504 seconds = 00:41:26
