pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2201	7333	4220	3520	2145	1549	1079	754	447	170	190	31	9
home---secondary	4753	6168	1260	587	528	495	480	500	465	374	288	262	1243
home---work	12851	13200	4554	2147	2000	1668	1112	957	816	780	628	572	1774
pt interaction---home	2165	7240	4307	3503	2128	1452	1095	801	457	169	211	29	13
pt interaction---pt interaction	27176	41872	4679	2088	1220	339	339	316	155	2	2	0	0
pt interaction---secondary	2796	3150	1442	925	612	486	204	78	38	40	31	1	0
pt interaction---work	3363	4642	2200	1433	1108	839	179	27	16	14	24	0	0
secondary---home	4623	5995	1634	567	505	477	464	506	477	379	293	256	1237
secondary---pt interaction	2853	3299	1267	893	629	489	172	83	32	40	35	1	0
work---home	10740	14963	5252	1767	1495	1326	1341	1499	988	787	628	574	1767
work---pt interaction	3438	4570	2083	1414	1222	803	183	14	14	12	24	0	0

average leg duration: 770.9009317975929 seconds = 00:12:50
