pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2776	8310	3907	2910	1594	1141	799	556	325	125	148	23	7
home---secondary	4999	6642	1459	828	609	417	301	324	291	206	166	132	584
home---work	10752	11083	6017	5077	3605	2278	1492	1233	859	589	340	342	864
pt interaction---home	2708	8263	4024	2908	1580	1066	798	579	332	129	162	21	10
pt interaction---pt interaction	25441	35484	5083	2262	1697	654	292	300	79	59	9	1	0
pt interaction---secondary	3202	3493	1407	802	554	440	174	81	33	34	27	1	0
pt interaction---work	3577	4469	1763	1053	761	544	140	14	14	17	21	0	0
secondary---home	4745	6755	1954	680	530	357	284	296	281	209	174	132	580
secondary---pt interaction	3243	3621	1242	792	566	452	134	89	28	31	30	1	0
work---home	9782	14841	7824	3611	2681	1105	836	814	734	626	475	360	864
work---pt interaction	3721	4362	1662	1048	847	520	134	6	16	14	21	0	0

average leg duration: 704.2308011040024 seconds = 00:11:44
