pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	846	3081	2084	1890	1260	1131	726	605	354	153	116	28	9
home---secondary	324	420	326	620	898	1311	1535	1784	1869	1902	1568	1536	8882
home---work	884	1212	772	1277	2282	3048	3687	4050	4449	4396	3982	3721	15092
pt interaction---home	856	3024	2109	1927	1232	1041	725	669	366	145	132	26	13
pt interaction---pt interaction	17043	24268	2140	37	2	2	0	0	1	0	1	0	0
pt interaction---secondary	1106	1326	642	446	301	221	106	23	16	28	14	2	0
pt interaction---work	1681	2488	1275	1005	791	578	159	25	15	15	20	0	0
secondary---home	316	401	352	623	898	1313	1535	1786	1872	1899	1570	1534	8870
secondary---pt interaction	1166	1390	545	434	307	220	85	29	12	30	17	2	0
work---home	954	1094	820	1280	2284	3053	3694	4066	4457	4394	3978	3719	15083
work---pt interaction	1725	2485	1194	960	903	541	157	14	12	16	21	0	0

average leg duration: 2170.1335000973495 seconds = 00:36:10
