pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	469	1946	1268	1127	769	705	478	369	218	75	78	11	3
home---secondary	210	367	313	637	939	1363	1650	1915	1980	2003	1711	1695	9551
home---work	750	1058	766	1305	2378	3217	3861	4385	4794	4813	4289	4049	16595
pt interaction---home	469	1912	1259	1160	765	664	480	410	223	76	81	9	5
pt interaction---pt interaction	11171	15449	1417	33	0	0	1	0	0	0	0	0	0
pt interaction---secondary	750	931	409	297	201	152	60	22	15	16	16	3	0
pt interaction---work	984	1405	750	568	470	346	85	12	9	5	10	0	0
secondary---home	234	329	331	638	941	1366	1651	1913	1979	2002	1710	1694	9548
secondary---pt interaction	786	970	364	280	205	148	46	21	11	20	16	3	0
work---home	799	943	831	1314	2384	3214	3864	4384	4799	4811	4283	4045	16590
work---pt interaction	993	1413	706	541	553	326	81	9	5	6	10	0	0

average leg duration: 2491.279765284876 seconds = 00:41:31
