pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	862	3051	2073	1892	1216	1092	724	607	337	155	128	22	6
home---secondary	299	423	327	615	893	1297	1528	1794	1860	1903	1576	1554	8907
home---work	879	1096	790	1280	2293	3089	3672	4072	4433	4441	3984	3770	15170
pt interaction---home	869	3007	2106	1919	1189	1004	723	663	352	146	145	21	9
pt interaction---pt interaction	16932	24159	2037	44	2	0	1	0	0	0	1	0	0
pt interaction---secondary	1130	1312	639	474	285	206	100	30	11	26	15	2	0
pt interaction---work	1670	2401	1315	972	754	580	171	27	13	13	19	0	0
secondary---home	303	398	346	617	891	1299	1526	1797	1861	1903	1577	1551	8901
secondary---pt interaction	1181	1385	567	442	290	208	77	31	9	27	17	2	0
work---home	928	1029	808	1276	2300	3089	3679	4081	4447	4444	3977	3767	15161
work---pt interaction	1689	2432	1235	929	861	548	168	15	10	12	19	0	0

average leg duration: 2179.5958704192367 seconds = 00:36:19
