pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1436	5046	3196	2972	1906	1488	940	712	449	179	183	31	9
home---secondary	4907	5611	1258	613	631	656	610	531	527	472	439	408	2076
home---work	8126	8746	5175	3289	2682	2078	1874	1834	2119	1676	1509	1492	6224
pt interaction---home	1386	5014	3226	2987	1895	1393	946	759	460	183	203	29	14
pt interaction---pt interaction	17410	28569	4169	2522	1222	699	729	1010	831	731	790	663	4637
pt interaction---secondary	2251	2659	1316	823	586	466	190	80	33	41	19	3	0
pt interaction---work	2040	3120	1630	1224	1010	799	181	24	14	14	24	0	0
secondary---home	4813	5869	1669	551	580	545	524	505	490	432	376	344	2034
secondary---pt interaction	2338	2764	1156	803	599	483	148	88	28	41	23	3	0
work---home	7872	7511	4226	2369	2340	2162	1980	2019	2069	1771	1487	1454	9623
work---pt interaction	2084	3093	1543	1175	1134	748	176	19	13	12	24	0	0

average leg duration: 1293.2785354548291 seconds = 00:21:33
