pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1437	5055	3201	2975	1908	1493	941	715	448	181	184	32	9
home---secondary	4938	5633	1267	568	629	661	592	540	527	464	414	410	2087
home---work	8221	8698	5033	3199	2559	1963	2160	1913	2167	1622	1487	1467	6312
pt interaction---home	1385	5028	3230	2986	1898	1399	948	763	458	185	204	30	14
pt interaction---pt interaction	17552	28481	4019	2217	1147	880	807	983	972	631	692	707	5135
pt interaction---secondary	2251	2664	1319	823	588	466	189	80	33	41	19	3	0
pt interaction---work	2048	3125	1637	1227	1010	801	181	24	14	14	22	0	0
secondary---home	4898	5892	1662	553	504	531	521	499	495	418	366	353	2030
secondary---pt interaction	2338	2768	1160	804	601	482	148	88	28	41	23	3	0
work---home	7800	7700	4147	2299	2481	2260	2188	1845	2066	1591	1284	1441	9758
work---pt interaction	2090	3103	1546	1179	1136	748	176	19	13	12	22	0	0

average leg duration: 1299.7641179744019 seconds = 00:21:39
