pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2034	6982	4113	3661	2281	1692	1182	843	536	213	223	31	9
home---secondary	4425	5594	1127	517	528	571	607	615	579	473	387	368	1861
home---work	12641	12787	3376	1908	1592	1347	1266	1206	1130	1052	902	811	2640
pt interaction---home	1988	6942	4179	3646	2230	1589	1185	904	548	218	248	31	12
pt interaction---pt interaction	27445	43078	5215	1806	839	404	416	264	75	0	0	0	0
pt interaction---secondary	2642	3056	1439	899	620	495	202	89	38	41	31	2	0
pt interaction---work	3319	4593	2281	1572	1217	929	225	37	22	21	30	0	0
secondary---home	4225	5485	1482	490	508	580	599	618	584	476	387	367	1853
secondary---pt interaction	2697	3230	1243	877	620	512	170	95	32	40	34	2	0
work---home	10440	14327	4095	1161	1440	1595	1789	1325	1166	1056	905	813	2622
work---pt interaction	3360	4541	2165	1553	1354	886	221	23	19	17	31	0	0

average leg duration: 851.2071782228513 seconds = 00:14:11
