pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	416	1534	1014	993	610	575	394	335	174	62	59	14	3
home---secondary	248	355	322	637	943	1371	1669	1911	2020	2045	1744	1706	9796
home---work	780	961	757	1330	2421	3251	3952	4467	4861	4875	4382	4127	16996
pt interaction---home	406	1515	1019	997	614	549	396	366	187	55	67	13	4
pt interaction---pt interaction	9238	13274	1221	28	0	0	0	0	0	0	0	0	0
pt interaction---secondary	675	757	364	263	172	113	45	16	8	13	10	3	0
pt interaction---work	772	1115	608	473	383	285	79	6	8	9	6	0	0
secondary---home	243	353	328	638	943	1373	1668	1915	2021	2044	1745	1703	9790
secondary---pt interaction	700	808	303	258	174	110	36	18	5	16	11	3	0
work---home	772	906	817	1335	2422	3248	3955	4465	4867	4867	4385	4128	16990
work---pt interaction	802	1124	570	445	445	265	71	5	5	9	6	0	0

average leg duration: 2594.411701378014 seconds = 00:43:14
