pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1114	4221	2768	2547	1648	1448	954	721	470	179	197	31	6
home---secondary	381	540	348	593	862	1226	1474	1670	1740	1733	1468	1472	8273
home---work	1157	1416	787	1233	2199	2880	3493	3744	4063	4099	3601	3450	13904
pt interaction---home	1108	4181	2799	2584	1619	1327	947	773	482	187	214	27	8
pt interaction---pt interaction	21291	32180	2898	50	5	1	1	1	1	0	1	1	0
pt interaction---secondary	1441	1716	816	566	378	268	128	46	20	26	18	3	0
pt interaction---work	2310	3331	1713	1336	1062	823	221	31	16	17	18	0	0
secondary---home	379	513	378	590	859	1227	1471	1674	1745	1736	1472	1475	8263
secondary---pt interaction	1502	1813	683	556	391	264	97	51	16	29	19	3	0
work---home	1241	1272	845	1234	2208	2882	3496	3760	4096	4095	3601	3447	13894
work---pt interaction	2300	3386	1620	1262	1218	775	207	19	12	15	19	0	0

average leg duration: 1943.4792076513354 seconds = 00:32:23
