pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1456	5452	3564	3300	2174	1883	1179	920	577	226	241	35	8
home---secondary	629	835	376	558	810	1133	1345	1506	1578	1552	1297	1308	7363
home---work	1916	2167	851	1172	2064	2618	3166	3408	3628	3572	3184	3017	12042
pt interaction---home	1430	5405	3609	3333	2147	1757	1180	994	589	218	265	34	10
pt interaction---pt interaction	25294	40194	4844	528	155	215	106	23	7	1	0	1	0
pt interaction---secondary	1823	2109	1059	730	474	397	178	60	21	44	19	2	0
pt interaction---work	2971	4335	2209	1712	1418	1048	286	44	25	22	29	0	0
secondary---home	632	778	427	560	812	1135	1342	1513	1579	1553	1298	1302	7353
secondary---pt interaction	1901	2247	892	711	480	401	139	65	17	45	22	2	0
work---home	2005	1956	967	1181	2077	2617	3176	3426	3648	3573	3185	3016	12028
work---pt interaction	2974	4361	2076	1674	1591	1000	275	30	20	19	29	0	0

average leg duration: 1695.8955194726786 seconds = 00:28:15
