pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1800	6381	4117	3736	2488	1991	1333	967	615	263	249	40	8
home---secondary	3323	4016	857	437	547	672	770	834	848	808	672	653	3830
home---work	9722	9892	2199	884	1240	1524	1781	1799	1880	1855	1612	1510	5957
pt interaction---home	1773	6322	4218	3759	2428	1880	1323	1035	638	262	265	40	11
pt interaction---pt interaction	26976	44088	5611	1722	938	894	390	182	143	260	101	3	0
pt interaction---secondary	2368	2804	1343	926	623	488	210	82	34	36	25	0	0
pt interaction---work	3084	4581	2523	1827	1466	1154	285	49	29	27	24	0	0
secondary---home	3235	3930	1076	428	529	652	759	833	850	809	671	644	3816
secondary---pt interaction	2481	2935	1161	910	639	496	170	89	29	34	30	0	0
work---home	8750	9964	2631	1197	1341	1569	1797	1822	1919	1862	1619	1509	5943
work---pt interaction	3107	4604	2362	1781	1659	1079	288	32	21	23	25	0	0

average leg duration: 1125.1569771741688 seconds = 00:18:45
