pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	508	2025	1364	1199	818	725	474	387	226	74	83	16	4
home---secondary	232	347	332	640	924	1333	1612	1921	1977	1980	1712	1693	9571
home---work	798	1012	786	1301	2375	3192	3846	4368	4727	4745	4227	4045	16511
pt interaction---home	494	1991	1383	1222	812	684	467	428	243	74	86	16	6
pt interaction---pt interaction	11688	15903	1424	39	1	0	0	0	0	0	0	0	0
pt interaction---secondary	721	957	439	325	203	159	59	20	13	18	15	3	0
pt interaction---work	1082	1510	799	600	484	360	94	20	9	6	7	0	0
secondary---home	244	322	350	638	927	1337	1610	1919	1980	1981	1707	1692	9567
secondary---pt interaction	776	975	381	316	218	146	50	21	10	20	16	3	0
work---home	815	949	834	1306	2375	3192	3848	4373	4731	4740	4228	4039	16500
work---pt interaction	1081	1515	760	582	560	354	90	11	8	6	7	0	0

average leg duration: 2467.8038895459067 seconds = 00:41:07
