pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1408	5333	3488	3186	2155	1829	1190	949	573	222	237	39	10
home---secondary	650	760	381	568	802	1133	1355	1510	1599	1550	1339	1318	7419
home---work	1845	2052	837	1196	2093	2664	3207	3445	3679	3596	3224	3069	12200
pt interaction---home	1400	5285	3531	3222	2113	1714	1190	1018	601	213	260	36	13
pt interaction---pt interaction	24927	39768	4769	313	154	209	86	14	0	3	0	0	0
pt interaction---secondary	1814	2090	1059	694	466	383	167	65	29	35	18	2	0
pt interaction---work	2895	4225	2149	1722	1360	1061	279	34	20	27	25	0	0
secondary---home	643	720	426	567	801	1137	1352	1514	1601	1546	1342	1311	7410
secondary---pt interaction	1888	2227	891	680	481	379	138	68	24	37	21	2	0
work---home	1881	1904	944	1190	2100	2662	3222	3463	3702	3594	3225	3070	12187
work---pt interaction	2921	4258	2031	1672	1520	1005	263	27	16	22	25	0	0

average leg duration: 1714.7695635695336 seconds = 00:28:34
