pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1727	6452	4236	3808	2575	2110	1399	1043	652	272	256	48	9
home---secondary	1168	1391	442	520	735	1034	1146	1283	1389	1320	1134	1114	6250
home---work	3348	3681	1001	1086	1806	2322	2789	2948	3122	3127	2742	2551	10074
pt interaction---home	1725	6367	4276	3853	2538	1969	1397	1105	683	274	278	47	13
pt interaction---pt interaction	27919	46239	6170	1130	880	471	162	143	142	52	106	25	1
pt interaction---secondary	2204	2576	1226	862	605	430	206	73	26	43	28	1	0
pt interaction---work	3434	5021	2579	1951	1596	1276	308	54	26	32	30	0	0
secondary---home	1090	1367	558	513	736	1027	1137	1287	1393	1318	1136	1110	6234
secondary---pt interaction	2301	2721	1043	836	610	425	187	81	19	42	34	1	0
work---home	3446	3402	1177	1092	1826	2326	2797	2972	3149	3135	2745	2552	10060
work---pt interaction	3457	5070	2412	1906	1787	1176	304	34	17	30	32	0	0

average leg duration: 1482.0375367387921 seconds = 00:24:42
