pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2590	7989	3962	3059	1725	1239	826	551	342	125	149	22	8
home---secondary	4999	6623	1501	777	599	425	325	327	311	220	168	141	669
home---work	11377	11936	6153	4138	3187	2062	1507	934	817	662	397	346	922
pt interaction---home	2514	7938	4058	3063	1709	1165	829	583	340	127	168	22	11
pt interaction---pt interaction	25622	36321	4833	2396	1718	632	209	132	208	113	39	15	0
pt interaction---secondary	3110	3383	1425	822	565	459	183	77	33	34	28	2	0
pt interaction---work	3377	4403	1907	1132	831	599	152	17	13	12	23	0	0
secondary---home	4815	6661	1932	642	543	381	314	313	310	210	176	141	664
secondary---pt interaction	3171	3492	1274	800	575	464	149	87	26	34	30	2	0
work---home	10195	14688	7047	3832	2314	1130	798	808	889	813	600	444	923
work---pt interaction	3506	4311	1791	1127	923	560	148	12	14	8	23	0	0

average leg duration: 711.9368670597958 seconds = 00:11:51
