pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	389	1623	1064	1013	645	596	383	336	200	68	66	11	4
home---secondary	253	400	326	640	938	1361	1661	1916	1992	2026	1734	1722	9668
home---work	799	983	766	1324	2412	3232	3960	4458	4849	4866	4375	4103	16948
pt interaction---home	377	1600	1089	1018	633	561	378	366	213	66	71	9	5
pt interaction---pt interaction	9570	13913	1304	27	0	0	0	0	0	0	0	0	0
pt interaction---secondary	664	817	391	279	166	133	58	18	9	18	13	3	0
pt interaction---work	759	1160	631	464	383	323	79	15	7	5	3	0	0
secondary---home	267	379	334	641	937	1363	1660	1921	1994	2025	1734	1721	9666
secondary---pt interaction	726	839	333	259	171	128	48	16	8	20	13	3	0
work---home	783	946	818	1325	2412	3233	3963	4462	4848	4865	4375	4105	16947
work---pt interaction	766	1171	590	445	455	299	73	10	6	3	4	0	0

average leg duration: 2571.3285281170743 seconds = 00:42:51
