pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	936	3639	2375	2227	1477	1240	809	670	368	162	172	31	7
home---secondary	314	485	337	616	881	1266	1531	1766	1796	1839	1506	1495	8651
home---work	984	1252	797	1248	2262	2980	3552	3952	4288	4252	3813	3615	14519
pt interaction---home	946	3584	2404	2252	1462	1156	814	729	383	162	184	30	9
pt interaction---pt interaction	19349	27926	2441	56	4	2	0	0	1	0	1	0	0
pt interaction---secondary	1214	1498	731	515	322	241	110	28	18	24	19	3	0
pt interaction---work	1998	2911	1485	1110	900	706	195	29	16	18	22	0	0
secondary---home	334	454	348	615	883	1266	1525	1772	1795	1838	1507	1492	8645
secondary---pt interaction	1323	1536	620	505	323	243	87	33	15	23	21	3	0
work---home	1075	1129	826	1258	2269	2976	3551	3960	4302	4246	3811	3611	14506
work---pt interaction	2017	2936	1423	1041	1046	659	187	22	13	18	22	0	0

average leg duration: 2061.331160550384 seconds = 00:34:21
