pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	603	2306	1539	1362	946	824	551	449	236	96	87	19	6
home---secondary	258	386	327	624	923	1347	1607	1873	1921	1968	1668	1657	9343
home---work	799	1099	756	1301	2337	3143	3823	4285	4685	4676	4159	3946	16175
pt interaction---home	589	2282	1560	1392	924	774	546	479	248	90	100	19	7
pt interaction---pt interaction	13063	18241	1615	35	0	0	0	0	0	0	0	0	0
pt interaction---secondary	862	1057	492	339	240	166	67	23	18	23	15	2	0
pt interaction---work	1235	1712	915	688	592	415	115	15	11	9	13	0	0
secondary---home	241	394	334	626	923	1347	1602	1879	1922	1969	1669	1658	9340
secondary---pt interaction	916	1090	426	326	251	161	51	25	13	23	18	2	0
work---home	853	990	812	1296	2335	3147	3826	4291	4699	4672	4162	3949	16164
work---pt interaction	1240	1735	868	654	666	401	106	7	10	8	13	0	0

average leg duration: 2384.0205558191305 seconds = 00:39:44
