pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	960	3281	2159	1895	1245	999	641	474	316	121	113	21	3
home---secondary	5405	6399	1385	583	599	642	662	735	687	676	568	531	3057
home---work	11330	12765	4392	3290	2853	2273	1731	1754	1928	1693	1353	1145	3446
pt interaction---home	936	3242	2207	1931	1227	929	640	509	319	126	122	22	3
pt interaction---pt interaction	13837	19937	2312	1145	903	572	503	361	216	331	285	69	644
pt interaction---secondary	1409	1677	789	498	366	290	125	56	28	27	11	1	0
pt interaction---work	1393	2148	1116	862	712	535	132	18	10	11	14	0	0
secondary---home	5386	6467	1731	480	488	569	601	699	668	664	578	518	3065
secondary---pt interaction	1452	1752	700	496	371	305	91	60	24	26	14	1	0
work---home	9771	11707	5726	3247	2736	2041	1835	1558	1740	1904	1753	1151	4814
work---pt interaction	1410	2152	1063	813	795	502	144	11	7	10	14	0	0

average leg duration: 1151.7365127301348 seconds = 00:19:11
