pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2642	7998	3959	3035	1712	1230	841	568	349	117	154	20	6
home---secondary	5059	6629	1477	758	603	406	344	336	280	207	168	157	658
home---work	11572	11685	5931	4507	3087	2070	1515	1024	831	496	359	353	967
pt interaction---home	2553	7979	4055	3026	1688	1142	842	602	351	123	169	18	9
pt interaction---pt interaction	25288	36254	4943	2415	1580	632	337	213	167	80	5	0	0
pt interaction---secondary	3092	3407	1427	803	584	452	182	74	35	37	29	2	0
pt interaction---work	3456	4477	1872	1107	811	576	147	10	15	17	19	0	0
secondary---home	4782	6709	1927	647	542	359	330	321	284	213	175	155	653
secondary---pt interaction	3147	3527	1267	787	593	458	149	81	30	37	31	2	0
work---home	10055	14698	7036	3566	2669	1241	904	860	839	718	530	370	969
work---pt interaction	3587	4372	1763	1104	888	541	138	11	14	12	19	0	0

average leg duration: 711.4038244509712 seconds = 00:11:51
