pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	855	3232	2157	1948	1327	1155	770	600	356	152	137	32	4
home---secondary	302	404	335	611	901	1273	1547	1785	1842	1881	1562	1532	8822
home---work	961	1189	761	1255	2292	3042	3645	4052	4384	4402	3913	3712	14980
pt interaction---home	867	3169	2185	1981	1290	1065	774	645	370	150	148	30	7
pt interaction---pt interaction	17623	24879	2240	50	2	0	0	0	1	0	1	0	0
pt interaction---secondary	1172	1393	683	453	278	226	106	35	17	28	16	2	0
pt interaction---work	1722	2556	1341	1012	824	609	173	28	14	13	24	0	0
secondary---home	298	395	350	613	902	1275	1543	1792	1845	1878	1564	1530	8814
secondary---pt interaction	1233	1460	575	433	293	226	85	40	14	28	18	2	0
work---home	1015	1053	841	1260	2298	3044	3656	4059	4399	4404	3918	3711	14972
work---pt interaction	1783	2532	1255	976	934	560	169	19	8	13	25	0	0

average leg duration: 2146.0212983701167 seconds = 00:35:46
