pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2407	7672	4134	3353	1909	1459	965	656	401	146	173	22	8
home---secondary	4949	6413	1370	640	560	422	409	436	385	290	224	185	929
home---work	12215	12926	5341	2999	2537	1695	1278	1035	685	627	459	478	1318
pt interaction---home	2325	7617	4212	3352	1896	1363	984	697	402	150	186	21	9
pt interaction---pt interaction	26316	39891	5022	2293	1254	421	208	222	271	89	2	0	0
pt interaction---secondary	2930	3304	1439	868	582	495	196	80	33	42	23	2	0
pt interaction---work	3391	4572	2073	1314	977	721	188	23	12	18	22	0	0
secondary---home	4724	6369	1795	572	517	403	394	440	387	292	227	181	925
secondary---pt interaction	2987	3440	1265	855	589	498	159	90	27	41	27	2	0
work---home	10547	15312	6369	2357	1522	1154	1073	1064	1152	851	472	479	1318
work---pt interaction	3500	4494	1953	1262	1095	683	183	14	13	13	24	0	0

average leg duration: 734.6382632563771 seconds = 00:12:14
