pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2711	8238	3928	2974	1617	1201	813	548	321	130	154	23	6
home---secondary	4977	6667	1477	796	624	397	307	336	311	236	173	135	575
home---work	10833	11621	5817	4715	3916	2076	1446	1083	795	552	354	309	918
pt interaction---home	2651	8187	4018	2965	1615	1126	810	583	319	134	164	24	7
pt interaction---pt interaction	25322	35492	5209	2692	1253	557	311	250	161	53	26	2	1
pt interaction---secondary	3162	3424	1436	810	559	452	177	80	35	33	25	2	0
pt interaction---work	3550	4508	1791	1087	796	527	150	13	10	14	23	0	0
secondary---home	4802	6684	1992	652	535	340	291	319	301	237	176	134	570
secondary---pt interaction	3201	3571	1260	794	565	460	140	92	28	32	28	2	0
work---home	9871	15212	7378	3842	2308	1079	804	796	779	665	463	359	918
work---pt interaction	3671	4407	1697	1084	875	497	145	10	9	12	23	0	0

average leg duration: 704.2747493118364 seconds = 00:11:44
