pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1073	4078	2589	2475	1601	1383	919	702	457	178	181	29	6
home---secondary	415	505	336	593	869	1232	1486	1696	1741	1782	1489	1500	8379
home---work	1112	1356	798	1227	2176	2926	3500	3809	4167	4158	3689	3463	14035
pt interaction---home	1057	4042	2617	2513	1573	1274	927	768	465	178	199	27	8
pt interaction---pt interaction	20578	31115	2687	48	4	1	0	0	1	0	1	0	0
pt interaction---secondary	1346	1655	804	530	353	271	115	42	17	34	14	2	0
pt interaction---work	2239	3253	1640	1266	1001	792	211	28	19	16	23	0	0
secondary---home	371	529	361	589	866	1232	1489	1698	1740	1781	1491	1501	8373
secondary---pt interaction	1424	1723	674	534	360	270	89	43	15	34	17	2	0
work---home	1209	1210	848	1232	2182	2923	3505	3819	4189	4150	3683	3466	14025
work---pt interaction	2286	3249	1541	1226	1160	730	199	20	14	13	25	0	0

average leg duration: 1976.4206493578083 seconds = 00:32:56
