pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2071	7005	4248	3666	2210	1646	1155	825	490	205	196	38	8
home---secondary	4557	5741	1165	520	525	529	545	568	534	438	386	351	1709
home---work	12780	13049	3550	1856	1696	1353	1245	1175	1065	1011	832	772	2395
pt interaction---home	2031	6939	4331	3671	2172	1553	1153	885	501	201	226	38	10
pt interaction---pt interaction	27517	43108	5003	1884	781	407	427	196	41	0	0	0	0
pt interaction---secondary	2661	3154	1428	905	601	496	194	85	38	50	25	1	0
pt interaction---work	3314	4604	2283	1540	1167	902	215	36	18	23	23	0	0
secondary---home	4349	5617	1547	488	510	530	553	566	538	439	384	349	1697
secondary---pt interaction	2705	3329	1261	854	625	500	161	90	33	50	30	1	0
work---home	10428	14655	4361	1213	1458	1548	1786	1289	1088	1017	829	777	2383
work---pt interaction	3382	4538	2166	1522	1286	882	219	18	18	17	24	0	0

average leg duration: 827.612296565421 seconds = 00:13:47
