pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1844	6432	4034	3735	2303	1859	1231	942	561	237	240	40	6
home---secondary	4033	5098	992	458	504	597	685	691	711	690	560	521	2633
home---work	11822	11777	2776	1144	1200	1321	1453	1431	1505	1454	1225	1181	4184
pt interaction---home	1808	6379	4123	3732	2288	1743	1256	990	576	235	264	39	8
pt interaction---pt interaction	27561	42999	5333	1176	928	520	401	97	0	1	0	1	0
pt interaction---secondary	2424	2842	1360	934	600	487	199	83	35	43	25	1	0
pt interaction---work	3063	4551	2346	1701	1374	1050	241	34	25	22	24	0	0
secondary---home	3930	4932	1310	438	490	591	675	694	709	690	563	514	2623
secondary---pt interaction	2476	2991	1201	914	609	506	158	92	26	43	30	1	0
work---home	10329	12480	3039	1007	1604	1558	1470	1461	1527	1463	1222	1186	4164
work---pt interaction	3155	4554	2185	1630	1533	1009	241	20	22	19	26	0	0

average leg duration: 965.8232928313536 seconds = 00:16:05
