pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	920	3570	2310	2146	1430	1224	814	658	382	159	168	31	6
home---secondary	338	435	348	618	891	1263	1531	1771	1797	1851	1531	1513	8684
home---work	981	1246	784	1249	2250	3020	3591	3980	4332	4260	3820	3611	14597
pt interaction---home	936	3524	2330	2168	1408	1133	812	710	397	156	179	29	8
pt interaction---pt interaction	18888	27443	2368	58	2	1	0	0	1	0	1	0	0
pt interaction---secondary	1203	1454	729	502	321	222	124	27	20	17	14	2	0
pt interaction---work	1934	2878	1456	1084	861	700	188	30	14	14	24	0	0
secondary---home	318	446	361	615	894	1265	1523	1776	1800	1849	1530	1511	8677
secondary---pt interaction	1282	1494	653	481	322	225	104	29	16	17	16	2	0
work---home	1076	1120	814	1261	2250	3021	3591	3993	4351	4259	3818	3612	14589
work---pt interaction	1946	2883	1388	1045	991	651	179	20	10	12	24	0	0

average leg duration: 2077.7275849380594 seconds = 00:34:37
