pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1934	6773	4470	4078	2636	2238	1469	1092	688	285	266	35	8
home---secondary	2148	2734	651	467	611	820	913	1050	1074	1025	882	870	4804
home---work	6507	6808	1320	946	1536	1891	2274	2312	2389	2385	2115	1973	7633
pt interaction---home	1886	6709	4541	4086	2595	2114	1466	1150	719	285	286	39	9
pt interaction---pt interaction	28667	47818	6351	1274	914	648	754	291	75	118	272	182	3
pt interaction---secondary	2482	2861	1381	927	640	478	211	80	25	43	28	1	0
pt interaction---work	3488	5116	2742	1987	1664	1351	323	50	32	26	36	0	0
secondary---home	2121	2625	804	469	603	817	904	1056	1082	1027	884	864	4788
secondary---pt interaction	2558	3034	1192	899	647	481	167	86	21	41	35	1	0
work---home	6491	6444	1708	942	1533	1895	2278	2326	2445	2395	2133	1972	7619
work---pt interaction	3531	5152	2552	1940	1890	1225	315	32	21	28	37	0	0

average leg duration: 1267.9688073275133 seconds = 00:21:07
