pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2193	7310	4140	3568	2175	1646	1118	745	458	187	204	31	8
home---secondary	4675	6046	1260	565	525	489	506	516	464	402	298	290	1315
home---work	12988	13023	4168	2206	2068	1497	1086	1020	901	842	702	620	1855
pt interaction---home	2135	7240	4232	3556	2150	1539	1121	806	467	189	220	30	10
pt interaction---pt interaction	27445	41792	4698	1895	1313	491	417	288	139	4	0	0	0
pt interaction---secondary	2761	3210	1463	927	614	487	197	81	41	43	30	1	0
pt interaction---work	3285	4654	2271	1425	1149	864	198	29	15	17	21	0	0
secondary---home	4531	5906	1620	543	491	484	487	521	475	407	300	283	1309
secondary---pt interaction	2820	3350	1295	906	622	486	167	90	36	41	35	1	0
work---home	10588	14930	5033	1675	1516	1336	1350	1532	1074	854	700	622	1848
work---pt interaction	3352	4583	2132	1414	1263	841	197	13	15	15	21	0	0

average leg duration: 784.5613671901557 seconds = 00:13:04
