pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2264	7472	4141	3499	2052	1542	1048	723	446	146	190	30	8
home---secondary	4794	6197	1297	601	535	485	446	491	420	360	255	240	1171
home---work	12610	13348	4682	2365	1949	1759	1284	897	820	745	603	530	1665
pt interaction---home	2209	7379	4230	3495	2036	1444	1057	762	453	151	206	27	11
pt interaction---pt interaction	27348	41280	4705	2128	1052	341	308	310	190	1	2	0	0
pt interaction---secondary	2852	3242	1455	889	589	492	200	86	34	43	31	1	0
pt interaction---work	3368	4581	2150	1413	1070	807	176	23	18	17	24	0	0
secondary---home	4600	6099	1687	549	520	477	439	482	436	366	259	236	1164
secondary---pt interaction	2901	3399	1268	866	600	493	166	91	29	41	37	1	0
work---home	10617	14921	5757	1915	1457	1296	1303	1406	1104	759	606	535	1660
work---pt interaction	3422	4531	2036	1375	1188	774	173	15	18	12	24	0	0

average leg duration: 761.995353458106 seconds = 00:12:41
