pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2544	7926	4020	3051	1766	1297	908	587	347	134	155	30	8
home---secondary	5069	6631	1488	708	575	398	326	352	314	213	183	138	685
home---work	11803	12045	6037	3725	3118	1940	1480	906	843	618	368	391	983
pt interaction---home	2476	7871	4115	3057	1748	1219	903	628	350	140	168	29	10
pt interaction---pt interaction	25745	37283	4937	2259	1463	570	272	206	195	106	9	1	1
pt interaction---secondary	3046	3386	1454	839	571	470	186	73	34	39	26	2	0
pt interaction---work	3441	4453	1895	1140	887	612	153	17	11	18	20	0	0
secondary---home	4797	6694	1880	650	512	362	319	348	309	219	192	136	680
secondary---pt interaction	3111	3523	1281	813	573	484	145	81	28	40	27	2	0
work---home	10347	15125	6706	3698	1971	1100	895	844	925	821	493	393	980
work---pt interaction	3543	4376	1776	1147	968	588	149	12	13	14	20	0	0

average leg duration: 710.7299253018266 seconds = 00:11:50
