pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1595	5757	3692	3353	2211	1741	1145	847	536	231	216	41	4
home---secondary	4357	5111	1104	452	484	561	648	683	696	639	551	525	2844
home---work	11755	11668	3356	2021	1579	1452	1416	1352	1482	1386	1179	1131	4309
pt interaction---home	1568	5675	3789	3374	2176	1629	1138	900	559	234	236	41	5
pt interaction---pt interaction	24236	38665	4882	1483	1178	587	409	425	395	221	164	106	0
pt interaction---secondary	2266	2717	1271	843	609	477	190	76	34	40	26	2	0
pt interaction---work	2555	3998	2066	1552	1299	1035	214	33	22	18	26	0	0
secondary---home	4149	5121	1388	417	464	544	632	686	695	648	550	523	2827
secondary---pt interaction	2348	2835	1100	839	614	494	147	85	26	41	31	2	0
work---home	9874	12363	4165	1473	1373	1332	1752	1703	1765	1589	1291	1156	4306
work---pt interaction	2611	3972	1952	1516	1464	958	205	25	17	16	26	0	0

average leg duration: 1011.514809774945 seconds = 00:16:51
