pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2607	7993	3980	3036	1657	1207	830	552	332	125	149	21	8
home---secondary	5074	6605	1475	780	623	395	330	342	293	224	172	146	671
home---work	11574	11533	6011	4567	3203	2095	1451	1010	859	603	351	337	889
pt interaction---home	2530	7935	4079	3053	1641	1134	833	580	334	127	161	20	10
pt interaction---pt interaction	25142	36245	4790	2217	1854	652	242	177	174	70	33	2	0
pt interaction---secondary	3073	3429	1413	815	555	443	174	73	34	37	28	2	0
pt interaction---work	3442	4414	1850	1104	826	573	143	17	14	16	22	0	0
secondary---home	4764	6718	1978	611	555	364	313	320	294	224	177	149	664
secondary---pt interaction	3138	3559	1240	802	562	449	143	82	29	40	29	2	0
work---home	10216	14570	7145	3492	2806	1244	848	826	833	767	507	397	891
work---pt interaction	3567	4317	1737	1095	906	539	141	11	14	13	22	0	0

average leg duration: 710.3586067876608 seconds = 00:11:50
