pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2185	7305	4170	3591	2144	1625	1083	719	477	178	203	30	8
home---secondary	4721	6048	1259	577	543	482	485	512	468	394	299	277	1292
home---work	12797	13107	4247	2322	2060	1511	1218	1006	878	777	672	633	1807
pt interaction---home	2135	7210	4257	3599	2123	1520	1085	772	482	177	226	27	11
pt interaction---pt interaction	27688	41727	4576	2126	1091	441	325	329	157	4	0	0	0
pt interaction---secondary	2789	3179	1467	913	618	484	209	81	39	38	31	1	0
pt interaction---work	3316	4667	2243	1426	1125	819	189	27	17	17	23	0	0
secondary---home	4531	5960	1607	555	510	476	471	521	480	400	304	272	1286
secondary---pt interaction	2840	3333	1290	875	637	485	179	88	34	36	35	1	0
work---home	10749	14752	5398	1553	1479	1337	1342	1559	1048	787	670	635	1804
work---pt interaction	3379	4593	2113	1416	1237	794	193	11	18	14	23	0	0

average leg duration: 779.9711828205669 seconds = 00:12:59
