pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1329	4919	3235	2901	1931	1608	1133	852	522	215	228	33	5
home---secondary	480	662	354	586	848	1209	1391	1599	1643	1629	1398	1379	7714
home---work	1496	1739	832	1210	2131	2786	3305	3616	3832	3849	3400	3228	12883
pt interaction---home	1343	4863	3242	2940	1918	1499	1129	918	530	217	246	29	8
pt interaction---pt interaction	23781	37217	3889	236	29	1	1	1	1	0	0	1	0
pt interaction---secondary	1688	1940	971	659	451	335	154	44	20	32	17	3	0
pt interaction---work	2688	3924	1968	1522	1204	948	248	42	20	16	17	0	0
secondary---home	464	637	396	581	851	1209	1385	1609	1645	1630	1401	1373	7704
secondary---pt interaction	1757	2072	825	633	459	323	131	49	15	35	19	3	0
work---home	1529	1607	921	1213	2143	2782	3306	3626	3867	3849	3398	3228	12874
work---pt interaction	2704	3955	1847	1469	1389	875	249	27	14	15	17	0	0

average leg duration: 1799.5469742228122 seconds = 00:29:59
