pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1552	5486	3532	3326	2063	1681	1054	809	515	197	210	39	5
home---secondary	4423	5279	1202	508	553	634	643	628	646	568	483	491	2639
home---work	10830	10507	4277	2768	1921	2019	1968	1693	1512	1351	1086	1053	3959
pt interaction---home	1524	5406	3585	3362	2051	1573	1054	866	532	199	232	37	8
pt interaction---pt interaction	21954	34617	5044	2213	1422	854	628	379	324	458	711	228	990
pt interaction---secondary	2295	2655	1309	824	588	453	202	77	36	46	22	2	0
pt interaction---work	2447	3687	1950	1419	1214	947	206	37	16	14	23	0	0
secondary---home	4374	5309	1435	478	465	572	594	618	663	573	481	482	2628
secondary---pt interaction	2385	2786	1138	807	599	468	161	84	30	44	30	2	0
work---home	8946	10917	4847	2328	1705	1693	1758	1715	2308	1481	1183	1133	4995
work---pt interaction	2496	3658	1830	1393	1362	882	205	23	12	11	23	0	0

average leg duration: 1058.9667061016705 seconds = 00:17:38
