pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	760	2864	1871	1739	1185	990	654	527	310	122	125	19	8
home---secondary	289	395	335	615	904	1311	1566	1816	1874	1937	1609	1591	9021
home---work	867	1165	774	1286	2318	3089	3666	4136	4498	4517	3986	3816	15555
pt interaction---home	768	2805	1891	1771	1144	922	647	583	326	114	138	17	10
pt interaction---pt interaction	15738	22474	1929	32	1	0	2	0	0	0	1	0	1
pt interaction---secondary	1031	1211	618	416	269	216	87	34	18	19	21	3	0
pt interaction---work	1533	2184	1177	868	716	537	157	21	9	11	18	0	0
secondary---home	291	375	356	613	903	1310	1566	1821	1877	1937	1612	1589	9015
secondary---pt interaction	1088	1266	539	400	270	211	70	37	15	19	23	3	0
work---home	951	1040	813	1290	2320	3089	3678	4146	4511	4517	3989	3817	15548
work---pt interaction	1534	2218	1125	811	818	503	143	7	9	10	17	0	0

average leg duration: 2238.28466286388 seconds = 00:37:18
