pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1927	6816	4515	4074	2651	2268	1512	1086	702	271	290	46	9
home---secondary	1870	2382	610	477	630	864	992	1113	1120	1089	921	887	5124
home---work	5700	6013	1210	997	1602	1959	2368	2457	2555	2537	2240	2109	8117
pt interaction---home	1876	6764	4556	4111	2602	2126	1517	1149	726	267	316	48	11
pt interaction---pt interaction	28741	48380	6435	1165	787	685	819	330	122	144	274	96	38
pt interaction---secondary	2459	2768	1424	913	639	511	228	76	36	46	26	1	0
pt interaction---work	3566	5145	2727	2046	1722	1370	328	52	24	26	34	0	0
secondary---home	1901	2253	715	481	628	859	986	1124	1125	1087	923	882	5108
secondary---pt interaction	2542	2952	1210	877	677	511	168	88	30	45	33	1	0
work---home	5832	5556	1549	981	1607	1969	2381	2476	2596	2546	2257	2116	8103
work---pt interaction	3623	5166	2535	1972	1942	1269	314	38	16	26	34	0	0

average leg duration: 1310.3381182084597 seconds = 00:21:50
