pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1942	6709	4501	4058	2618	2202	1472	1094	698	286	267	40	9
home---secondary	2275	2801	670	468	588	809	913	1022	1049	1007	869	847	4759
home---work	6702	6978	1346	945	1515	1855	2214	2284	2402	2335	2104	1905	7552
pt interaction---home	1888	6648	4579	4064	2569	2081	1464	1153	728	289	286	42	11
pt interaction---pt interaction	28514	47880	6403	1309	828	747	744	248	100	140	278	118	11
pt interaction---secondary	2463	2879	1370	919	632	481	212	81	25	38	28	1	0
pt interaction---work	3501	5110	2722	1982	1667	1340	305	48	32	25	35	0	0
secondary---home	2232	2692	833	473	588	810	904	1031	1053	1009	870	841	4746
secondary---pt interaction	2529	3036	1192	890	638	487	172	89	21	36	33	1	0
work---home	6709	6581	1736	945	1515	1862	2223	2303	2449	2347	2115	1907	7533
work---pt interaction	3531	5143	2546	1932	1883	1219	309	33	21	27	35	0	0

average leg duration: 1257.7386130621862 seconds = 00:20:57
