pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	428	1752	1154	1040	734	643	442	356	196	84	75	13	3
home---secondary	278	374	320	636	934	1358	1648	1909	1980	2031	1727	1697	9587
home---work	783	1062	765	1298	2408	3240	3908	4435	4799	4843	4320	4061	16789
pt interaction---home	421	1738	1149	1060	713	597	445	400	210	83	81	13	4
pt interaction---pt interaction	10192	14757	1337	29	0	0	1	0	0	0	0	0	0
pt interaction---secondary	704	828	440	284	206	148	55	22	13	13	12	2	0
pt interaction---work	866	1271	684	494	429	318	91	14	10	6	10	0	0
secondary---home	288	359	327	638	933	1360	1646	1906	1978	2030	1729	1693	9583
secondary---pt interaction	751	872	375	270	215	148	42	23	10	15	13	2	0
work---home	833	966	807	1311	2405	3238	3906	4443	4813	4841	4319	4063	16780
work---pt interaction	874	1288	633	481	471	306	97	6	6	7	10	0	0

average leg duration: 2532.618102413975 seconds = 00:42:12
