pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1774	6473	4279	3876	2583	2137	1390	1062	631	279	252	48	8
home---secondary	1224	1447	467	523	726	1021	1126	1262	1340	1309	1117	1095	6199
home---work	3417	3796	997	1073	1822	2307	2742	2933	3068	3114	2717	2532	9944
pt interaction---home	1742	6428	4325	3920	2534	2007	1389	1122	665	275	277	46	11
pt interaction---pt interaction	28284	46310	5980	1136	790	600	243	174	154	133	86	30	1
pt interaction---secondary	2239	2606	1234	858	607	433	202	71	29	42	28	1	0
pt interaction---work	3436	5065	2622	1966	1618	1289	305	46	32	30	33	0	0
secondary---home	1167	1429	547	524	722	1014	1116	1266	1345	1304	1119	1095	6184
secondary---pt interaction	2325	2762	1054	827	620	429	180	80	21	44	31	1	0
work---home	3552	3456	1198	1076	1836	2305	2749	2959	3102	3113	2721	2534	9936
work---pt interaction	3491	5097	2463	1902	1794	1207	298	30	20	30	35	0	0

average leg duration: 1471.5683055218547 seconds = 00:24:31
