pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2746	8234	3931	2957	1617	1178	801	535	326	119	146	21	7
home---secondary	4990	6688	1510	785	626	403	288	330	282	206	173	123	591
home---work	10834	11670	6150	4619	3729	2214	1396	1045	687	535	415	307	896
pt interaction---home	2674	8180	4048	2945	1615	1100	817	569	325	126	156	20	9
pt interaction---pt interaction	25510	35503	4856	2388	1820	599	224	183	71	45	11	0	0
pt interaction---secondary	3172	3456	1432	808	557	447	177	73	30	30	27	2	0
pt interaction---work	3591	4490	1768	1049	777	531	135	16	13	15	22	0	0
secondary---home	4816	6699	1996	640	554	347	273	311	276	209	179	120	587
secondary---pt interaction	3234	3574	1270	790	566	458	142	80	25	29	29	2	0
work---home	9914	15027	7287	3826	2534	1167	849	856	744	622	486	316	891
work---pt interaction	3726	4380	1679	1051	853	507	131	11	12	13	22	0	0

average leg duration: 700.7349208802946 seconds = 00:11:40
