pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1513	5322	3430	3177	1997	1628	1006	790	491	179	192	34	6
home---secondary	4725	5572	1279	555	567	619	623	608	599	504	436	419	2273
home---work	10130	11097	4250	3078	2540	2032	1859	1984	1715	1334	1101	1019	3427
pt interaction---home	1480	5253	3483	3195	1989	1529	1016	839	502	179	213	32	9
pt interaction---pt interaction	20377	32651	4475	2593	1538	933	857	869	485	261	331	661	1633
pt interaction---secondary	2245	2631	1301	831	597	452	198	74	34	42	20	2	0
pt interaction---work	2325	3495	1857	1353	1154	885	186	32	12	16	23	0	0
secondary---home	4635	5678	1577	494	477	524	567	586	587	515	443	421	2265
secondary---pt interaction	2323	2765	1131	816	607	458	159	80	29	40	27	2	0
work---home	8736	9955	4874	2908	2373	1889	1822	1682	1763	1887	1581	1262	4890
work---pt interaction	2372	3473	1742	1319	1309	822	180	19	11	12	23	0	0

average leg duration: 1067.693315853694 seconds = 00:17:47
