pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1597	5987	3919	3623	2446	2067	1326	1044	629	289	271	42	9
home---secondary	849	1091	415	559	752	1089	1264	1422	1485	1426	1203	1209	6727
home---work	2504	2754	912	1140	1938	2527	2944	3205	3453	3325	2944	2787	10937
pt interaction---home	1577	5935	3959	3623	2397	1945	1335	1102	647	288	296	39	14
pt interaction---pt interaction	26993	44115	5521	1040	779	181	163	212	62	55	55	29	1
pt interaction---secondary	2063	2334	1171	812	559	429	189	64	31	41	20	2	0
pt interaction---work	3262	4775	2482	1844	1527	1179	325	59	25	27	29	0	0
secondary---home	825	1038	498	560	758	1090	1259	1428	1487	1424	1206	1204	6716
secondary---pt interaction	2164	2473	982	777	586	410	157	74	25	40	23	2	0
work---home	2593	2530	1044	1144	1953	2534	2948	3225	3484	3337	2957	2790	10921
work---pt interaction	3245	4831	2335	1787	1718	1096	320	39	17	25	31	0	0

average leg duration: 1576.0832890903646 seconds = 00:26:16
