pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1590	5781	3698	3429	2247	1759	1166	848	542	226	220	40	6
home---secondary	4285	5057	1089	437	493	574	655	684	708	645	545	549	2886
home---work	11847	11746	3191	1922	1383	1412	1397	1423	1501	1413	1201	1156	4359
pt interaction---home	1572	5702	3793	3426	2221	1648	1162	902	560	230	240	40	7
pt interaction---pt interaction	24568	39370	4847	1700	1015	438	402	422	240	253	72	0	0
pt interaction---secondary	2278	2715	1294	858	614	470	191	77	38	38	24	2	0
pt interaction---work	2608	4025	2071	1593	1299	1051	203	33	26	17	27	0	0
secondary---home	4066	5062	1378	413	465	556	644	679	711	654	546	546	2868
secondary---pt interaction	2354	2847	1130	853	615	483	148	87	30	41	28	2	0
work---home	9894	12549	3989	1423	1220	1398	1849	1736	1711	1523	1208	1168	4351
work---pt interaction	2654	3992	1968	1549	1458	977	201	26	18	15	27	0	0

average leg duration: 1008.85020836115 seconds = 00:16:48
