pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	390	1483	1043	951	641	597	367	300	151	68	62	8	5
home---secondary	232	359	325	645	939	1366	1686	1914	2013	2056	1718	1712	9798
home---work	749	987	763	1330	2416	3266	3953	4446	4893	4905	4381	4141	17051
pt interaction---home	381	1471	1037	969	626	556	347	329	167	68	66	9	5
pt interaction---pt interaction	8997	13156	1193	30	0	0	0	0	0	0	0	0	1
pt interaction---secondary	655	778	364	250	164	126	48	21	9	15	10	3	0
pt interaction---work	747	1087	587	451	400	257	56	15	7	9	7	0	0
secondary---home	238	340	340	640	938	1368	1690	1917	2015	2058	1719	1711	9794
secondary---pt interaction	697	805	309	238	171	122	38	21	6	17	11	3	0
work---home	769	932	798	1334	2422	3270	3956	4455	4903	4901	4385	4141	17045
work---pt interaction	730	1094	558	427	444	252	59	9	5	8	7	0	0

average leg duration: 2604.5130489852427 seconds = 00:43:24
