pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1779	6240	3991	3685	2335	1831	1215	914	582	229	240	42	7
home---secondary	4001	4989	1016	453	513	620	656	720	743	697	580	548	2787
home---work	11713	11701	2723	1057	1172	1339	1462	1463	1532	1510	1305	1255	4465
pt interaction---home	1740	6185	4066	3670	2310	1728	1225	972	599	227	263	40	11
pt interaction---pt interaction	26913	42990	5217	1344	826	468	366	141	23	0	0	0	0
pt interaction---secondary	2358	2821	1337	885	601	491	207	83	30	45	23	2	0
pt interaction---work	2980	4455	2316	1692	1393	1037	232	32	25	21	24	0	0
secondary---home	3880	4904	1256	441	505	615	651	716	745	694	579	540	2769
secondary---pt interaction	2417	2971	1166	869	616	508	176	90	24	41	31	2	0
work---home	10264	12321	2938	980	1589	1616	1486	1488	1566	1519	1303	1259	4450
work---pt interaction	3035	4437	2153	1649	1545	991	232	20	20	18	25	0	0

average leg duration: 988.5454663504582 seconds = 00:16:28
