Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	22:49:15	22:49:15	22:49:15	22:49:15	22:49:15	22:49:15			22:49:15	22:49:15	22:49:15	22:49:15	22:49:25	22:49:25	22:49:25	22:49:25	22:49:25	22:49:25			22:49:25	22:49:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
18	22:49:25	22:49:25	22:49:25	22:49:25	22:49:26	22:49:26			22:49:26	22:49:26	22:49:26	22:49:26	22:49:36	22:49:36	22:49:36	22:49:36	22:49:36	22:49:36			22:49:37	22:49:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
19	22:49:37	22:49:37	22:49:37	22:49:37	22:49:37	22:49:37			22:49:37	22:49:37	22:49:37	22:49:37	22:49:48	22:49:48	22:49:48	22:49:48	22:49:48	22:49:48			22:49:49	22:49:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
20	22:49:49	22:49:49	22:49:49	22:49:49	22:49:49	22:49:49			22:49:49	22:49:49	22:49:49	22:49:49	22:50:00	22:50:00	22:50:00	22:50:00	22:50:00	22:50:00	22:50:00	22:50:00	22:50:01	22:50:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12
21	22:50:01	22:50:01	22:50:01	22:50:01	22:50:01	22:50:01			22:50:01	22:50:01	22:50:01	22:50:01	22:50:11	22:50:11	22:50:11	22:50:11	22:50:11	22:50:11			22:50:12	22:50:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
22	22:50:12	22:50:12	22:50:12	22:50:12	22:50:12	22:50:12			22:50:12	22:50:12	22:50:13	22:50:13	22:50:23	22:50:23	22:50:23	22:50:23	22:50:23	22:50:23			22:50:24	22:50:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
23	22:50:24	22:50:24	22:50:24	22:50:24	22:50:24	22:50:24			22:50:24	22:50:24	22:50:25	22:50:25	22:50:35	22:50:35	22:50:35	22:50:35	22:50:35	22:50:35			22:50:35	22:50:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
24	22:50:35	22:50:35	22:50:35	22:50:35	22:50:36	22:50:36			22:50:36	22:50:36	22:50:36	22:50:36	22:50:46	22:50:46	22:50:46	22:50:46	22:50:46	22:50:46			22:50:46	22:50:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
25	22:50:46	22:50:46	22:50:47	22:50:47	22:50:47	22:50:47			22:50:47	22:50:47	22:50:47	22:50:47	22:50:58	22:50:58	22:50:58	22:50:58	22:50:58	22:50:58			22:50:59	22:50:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
26	22:50:59	22:50:59	22:50:59	22:50:59	22:50:59	22:50:59			22:50:59	22:50:59	22:50:59	22:50:59	22:51:10	22:51:10	22:51:10	22:51:10	22:51:10	22:51:10			22:51:10	22:51:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
