ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-34.92004380658336	-34.92004380658336	-34.92004380658336	-34.92004380658336
1	-31.104886816270792	-34.13421096459505	-32.537309370546076	-30.940407776497256
2	-10.393786410654565	-20.708003612073004	-15.427648690875786	-9.990465183840376
3	19.27667422532271	-3.510839735200399	7.824624315752914	19.319113381528126
4	19.39138619290941	-3.4915720306318914	8.599856922100647	19.514254399677593
5	19.475379002868767	-3.489535630829263	9.287675566537219	19.662783930962007
6	19.511746516421027	-3.512293217904585	9.877007293454422	19.757989149415543
7	19.521783591964855	-3.543942200776233	10.40310201193035	19.823749170628624
8	19.526345302127734	-3.575428332109576	10.878341727585081	19.878400458357426
9	19.52159988978688	-3.5940500053548496	11.312895703906333	19.918352895213726
10	19.51776218642816	-3.5927818079888256	11.715732831560636	19.954665641687082
11	19.512856757967988	-3.541258933369374	12.09478323532066	19.985482262538838
12	19.50757195564376	-3.4251846990228163	12.456121171779591	20.01259864269248
13	19.496242879427363	-3.235934510094148	12.804088991276895	20.036608734208645
14	19.488882785898138	-2.9567894958560412	13.134630817314337	20.056885951546725
15	19.484528448552318	-2.6254998531927196	13.462869414223503	20.07768039958124
16	19.473345585871684	-2.1671215684275924	13.78362121841104	20.095041262243207
17	19.4694593210406	-1.6232518709516517	14.106625202544622	20.11071624366589
18	19.466826315275256	-1.0228106626282754	14.416363623251593	20.12626597730485
19	19.46429450199546	-0.3027947340809406	14.72563171163773	20.138878036497157
20	19.458157157271213	0.4815430372572643	15.027844254364934	20.150441711103717
21	19.455120672954582	1.308498641822251	15.330315332412978	20.161607291420612
22	19.45732248371958	2.16737704564666	15.621876258192366	20.17239505834014
23	19.460809251246125	3.077505091188492	15.905335577439875	20.181543138070477
24	19.45977611284738	4.019479011046225	16.18003496341186	20.190701528880076
25	19.466373229616515	4.961364533587574	16.449821019328798	20.199660496865107
26	19.471031503984925	5.8949558059295075	16.705255492897397	20.207953383579863
27	19.475878308697684	6.828477618864178	16.95055412845115	20.21506937694986
28	19.47676919587935	7.7565924722313655	17.1864619090807	20.221238247367495
29	19.483086626457187	8.641470681643323	17.407414437296488	20.22740419295781
30	19.497970534913616	9.488110103659887	17.614241961508416	20.23372493288634
31	19.50874480901927	10.235131732782845	17.80090368897539	20.240012436036864
32	19.519621560122086	10.984211750642253	17.981823928906433	20.245678983062987
33	19.535271125503854	11.715651661163042	18.151874618532865	20.25099276361973
34	19.54581484382084	12.387583821555396	18.30891137436676	20.25608306847823
35	19.55871696846655	13.009634541042823	18.45351484186868	20.26073197765074
36	19.575105272601768	13.599093841061553	18.59066900291373	20.265688427031268
37	19.587092474174288	14.155986342907653	18.715890098415375	20.269958337972156
38	19.600921301464584	14.640920036185111	18.828508051458474	20.274880099885447
39	19.613142698810343	15.101810253172124	18.933511624097	20.278590860517454
40	19.628857173540574	15.539376256033508	19.032548687801885	20.28266612137902
41	19.64653140396516	15.968669784780438	19.12837588289536	20.28647348114257
42	19.657596188590222	16.35143552318359	19.21314569985881	20.289872058762423
43	19.677271862841533	16.69606790346854	19.29226512271746	20.29373478844988
44	19.690564298522062	17.0043184161947	19.362541262443962	20.296643794720087
45	19.70241802623027	17.274499473413588	19.425187585288928	20.299712744614315
46	19.713530499638928	17.505518700413162	19.479929582833186	20.302818204846307
47	19.73197341278737	17.728296960820114	19.532466444164406	20.305960464466953
48	19.743608020617533	17.927124140503757	19.57896287491672	20.3087351341996
49	19.75819740156843	18.101281627894636	19.621947827015198	20.311739881053953
50	19.766800465605453	18.261001605730215	19.660881074888923	20.314513475598222
51	19.779945854739996	18.400049332489505	19.696239452458435	20.317419960141027
52	19.795788916810338	18.52948379299463	19.728972886837816	20.31987568226458
53	19.805860904584712	18.625082778753434	19.756448631485142	20.32255322065487
54	19.816031648716496	18.7428204565478	19.78605125651449	20.32501495426567
55	19.82610568620685	18.852445174431594	19.81348701609447	20.327255557765504
56	19.838430522159804	18.937093542292736	19.837323688180064	20.329347949995245
57	19.84881582663787	19.01720075326968	19.85965569903514	20.33157065074852
58	19.858891378994606	19.089139101422397	19.88047540928902	20.33384614176368
59	19.86608525900915	19.158462015743257	19.900154396257797	20.336130508180226
60	19.87686867706423	19.21510658981201	19.918016068269964	20.33823542268857
61	19.8913612385718	19.279042455242774	19.935849441970074	20.34036065558396
62	19.897101577384916	19.31589739636078	19.94964096587111	20.342544073967822
63	19.90056147974679	19.35761127546252	19.963009412354314	20.344433971675794
