ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2062.5382808464665	3365.815860100009	
1	2181.572115811314	3325.507242777801	
2	2623.518337339983	4223.969189287249	
3	3126.2112454536496	4937.079609378834	
4	3032.411890535353	4859.033557804092	
5	2960.4196958144357	4780.210202682748	
6	2897.8600354576656	4711.477349290641	
7	2841.822759590498	4651.92634444725	
8	2788.6661172815307	4587.125335755189	
9	2740.464321511381	4537.161082246414	
10	2698.297823650411	4488.81139434831	
11	2661.3275990783864	4449.900482125634	
12	2633.8357050826785	4411.103322223001	
13	2609.2571855165656	4379.711552828609	
14	2581.9548094694364	4353.867727222318	
15	2559.3381157690724	4330.000870432229	
16	2539.57297003609	4307.642331341206	
17	2520.4315423984726	4286.4716440659795	
18	2501.868185206051	4272.064112420206	
19	2493.80209846102	4261.7598362940025	
20	2482.862983375762	4250.046276854566	
21	2466.8503199665724	4238.489369162872	
22	2463.412621501384	4229.390398682087	
23	2454.4473319154463	4224.299081774819	
24	2450.2680578067407	4216.640111273082	
25	2439.0058166987205	4215.614654787895	
26	2430.9888979733328	4216.700681023914	
27	2421.9419567411433	4213.188458976268	
28	2413.0496448174786	4211.031267577628	
29	2407.310897382467	4208.96991589569	
30	2414.0259429937546	4217.872459664275	
31	2413.1745318100675	4219.5695109718035	
32	2408.0858363858574	4221.780161070291	
33	2406.8425002716717	4219.657614226144	
34	2411.627854277187	4228.106462899945	
35	2405.625274514707	4232.110064144759	
36	2408.5401863096085	4239.55762291654	
37	2416.661313045313	4252.933153691204	
38	2416.8515080480342	4260.408368566164	
39	2421.1559182798546	4267.319689756237	
40	2428.8473647579526	4272.905905550701	
41	2436.7086866024965	4282.227892128502	
42	2436.660204070748	4288.881186206848	
43	2447.087639247011	4299.641502391149	
44	2454.3258746192064	4302.350678939543	
45	2458.0692525712343	4313.347276300671	
46	2461.400527290153	4320.612497978154	
47	2470.7086989613204	4329.218610679115	
48	2470.741362460822	4329.246469108917	
49	2473.584310945766	4338.668645934109	
50	2472.6908629894874	4339.600392929856	
51	2477.410253074088	4350.740053404192	
52	2487.7354692201943	4361.74473482228	
53	2491.7338664315907	4360.637952719824	
54	2491.4804975090206	4367.659212896327	
55	2500.333178022392	4372.875531126899	
56	2502.6696444630797	4379.984302388524	
57	2508.6863373131982	4387.143899124936	
58	2516.061869994649	4397.738719456942	
59	2520.6201889328977	4396.116245097296	
60	2522.3076490953513	4402.657863353178	
61	2527.844432153577	4407.663877431688	
62	2537.347871679688	4416.813418004595	
63	2538.1121362510626	4419.381009278051	
64	2545.783688653489	4424.259040745352	
65	2554.314546554011	4428.51509964094	
66	2553.6136027641755	4433.13514962331	
67	2555.2991548320615	4430.512835009143	
68	2564.7514834453914	4439.9334696811375	
69	2564.698491588793	4445.853455821196	
