pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1855	6436	4136	3724	2303	1887	1193	942	566	230	229	42	7
home---secondary	4049	5074	1013	458	504	603	680	705	713	680	562	521	2553
home---work	11847	11834	2834	1124	1227	1336	1434	1421	1463	1437	1220	1164	4104
pt interaction---home	1817	6398	4202	3730	2290	1776	1207	1002	579	225	251	40	9
pt interaction---pt interaction	27504	43516	5135	1341	926	622	404	170	2	1	1	0	0
pt interaction---secondary	2429	2879	1350	934	615	484	202	83	37	47	29	2	0
pt interaction---work	3091	4553	2348	1685	1388	1051	235	33	26	25	24	0	0
secondary---home	3892	4966	1328	434	485	605	668	710	714	679	565	515	2544
secondary---pt interaction	2499	3008	1194	916	624	497	158	93	29	49	32	2	0
work---home	10296	12547	3097	1001	1611	1623	1456	1449	1485	1446	1217	1167	4084
work---pt interaction	3155	4567	2205	1632	1543	999	235	20	23	20	26	0	0

average leg duration: 958.915691819421 seconds = 00:15:58
