pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1409	4868	3111	2898	1842	1417	894	658	422	169	170	32	9
home---secondary	4992	5634	1294	599	650	664	616	480	486	443	395	377	2205
home---work	7503	7691	4074	2908	2508	2338	1890	1842	1978	1904	1898	1723	9119
pt interaction---home	1350	4844	3143	2903	1838	1318	902	699	432	170	191	31	13
pt interaction---pt interaction	16133	26394	3931	2040	1066	797	949	823	878	649	692	731	6626
pt interaction---secondary	2221	2632	1269	829	575	473	192	86	32	41	18	3	0
pt interaction---work	1942	2938	1549	1168	937	755	169	24	15	12	19	0	0
secondary---home	4958	5976	1744	564	505	579	543	446	441	416	355	280	2020
secondary---pt interaction	2316	2720	1118	812	586	490	152	92	27	42	21	3	0
work---home	7457	6880	3938	2005	1937	2211	2166	1803	1954	1722	1555	1508	12313
work---pt interaction	1983	2906	1465	1121	1057	700	162	19	14	9	19	0	0

average leg duration: 1478.2805971497617 seconds = 00:24:38
