pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2214	7369	4157	3537	2093	1573	1075	722	434	161	204	30	8
home---secondary	4780	6150	1281	582	540	499	477	490	432	372	281	260	1146
home---work	12812	13186	4618	2260	2089	1529	1245	957	846	769	613	547	1772
pt interaction---home	2177	7283	4231	3544	2072	1471	1085	771	447	164	223	29	10
pt interaction---pt interaction	27273	41769	4667	2235	1110	326	247	239	145	1	0	0	0
pt interaction---secondary	2853	3200	1429	930	616	492	200	84	34	44	33	1	0
pt interaction---work	3347	4601	2157	1404	1086	792	195	26	13	18	22	0	0
secondary---home	4609	6024	1665	565	504	490	464	491	437	375	284	255	1140
secondary---pt interaction	2908	3342	1262	893	630	499	169	88	29	44	38	1	0
work---home	10636	14985	5613	1739	1499	1324	1320	1549	935	776	608	552	1764
work---pt interaction	3415	4531	2049	1395	1189	769	188	19	13	14	22	0	0

average leg duration: 764.548575597649 seconds = 00:12:44
