pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1861	6675	4365	3990	2607	2156	1416	1057	657	289	282	46	10
home---secondary	1369	1705	499	522	688	956	1093	1214	1285	1235	1040	1049	5873
home---work	4208	4482	1099	1050	1743	2199	2631	2715	2920	2890	2582	2358	9294
pt interaction---home	1816	6645	4418	3996	2574	2050	1406	1120	701	279	310	47	12
pt interaction---pt interaction	28704	47534	6246	1323	851	801	184	122	126	194	84	97	63
pt interaction---secondary	2325	2683	1302	894	612	470	209	81	31	45	25	1	0
pt interaction---work	3488	5145	2710	2001	1647	1283	310	56	28	27	38	0	0
secondary---home	1341	1657	584	518	689	954	1083	1214	1285	1231	1041	1042	5855
secondary---pt interaction	2456	2812	1119	855	637	474	170	88	25	43	32	1	0
work---home	4294	4159	1328	1053	1762	2214	2636	2733	2948	2899	2586	2356	9274
work---pt interaction	3568	5147	2532	1911	1847	1224	310	41	17	26	39	0	0

average leg duration: 1410.5445905139945 seconds = 00:23:30
