pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1935	6710	4415	4031	2617	2238	1465	1066	699	289	266	42	8
home---secondary	2352	2963	653	452	595	777	904	987	1049	998	828	834	4590
home---work	7190	7559	1418	915	1464	1820	2114	2187	2300	2244	2014	1850	7272
pt interaction---home	1892	6640	4512	4026	2560	2131	1451	1136	724	290	286	41	10
pt interaction---pt interaction	28333	47739	6247	1260	894	730	666	362	121	94	209	269	86
pt interaction---secondary	2464	2895	1372	948	633	518	216	81	28	36	33	0	0
pt interaction---work	3361	5120	2678	1998	1645	1289	316	55	31	27	37	0	0
secondary---home	2392	2767	823	458	582	771	893	996	1053	1001	828	827	4573
secondary---pt interaction	2560	3036	1191	923	652	516	180	89	23	31	41	0	0
work---home	7211	7160	1782	917	1477	1839	2129	2214	2344	2249	2019	1855	7251
work---pt interaction	3397	5126	2505	1948	1858	1189	316	32	21	28	37	0	0

average leg duration: 1236.4752828404683 seconds = 00:20:36
