pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1339	5043	3321	3019	1930	1717	1169	908	543	205	232	32	8
home---secondary	561	693	353	581	831	1190	1379	1586	1627	1606	1387	1356	7625
home---work	1538	1815	847	1194	2108	2752	3255	3576	3817	3747	3350	3197	12673
pt interaction---home	1342	4995	3365	3047	1898	1595	1164	972	563	206	251	28	11
pt interaction---pt interaction	23919	38345	4366	252	124	35	25	1	1	0	0	2	1
pt interaction---secondary	1719	1987	971	657	467	354	148	43	21	41	21	2	0
pt interaction---work	2790	4064	2035	1592	1258	961	241	31	23	18	22	0	0
secondary---home	541	665	403	571	829	1188	1374	1598	1633	1610	1386	1354	7614
secondary---pt interaction	1801	2121	828	629	472	334	120	50	16	43	24	2	0
work---home	1633	1662	896	1204	2114	2751	3260	3590	3846	3743	3353	3198	12655
work---pt interaction	2838	4073	1935	1514	1430	893	237	27	14	15	23	0	0

average leg duration: 1771.371900916869 seconds = 00:29:31
