ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2062.5382808464665	3365.815860100009	
1	2181.572115811314	3325.507242777801	
2	2619.5315872615915	4218.898003066939	
3	3176.6623197262415	4939.632482875703	
4	3132.47824031157	4867.389265714901	
5	3145.1332480840497	4822.624897617976	
6	3172.632968500343	4803.64770584376	
7	3197.470276628605	4790.23700650835	
8	3219.08025102025	4768.571191964322	
9	3237.181384151452	4752.8950599409245	
10	3264.1919129595035	4735.038108431685	
11	3288.2949075780307	4728.678325481935	
12	3312.2825700098315	4718.988617843873	
13	3330.2446076930255	4703.955660646414	
14	3349.414746668651	4696.5078634241745	
15	3359.7704531262134	4689.138669510001	
16	3367.6560141991054	4680.0448958233865	
17	3405.2047965272786	4676.19515893576	
18	3415.676296983636	4669.25508204591	
