Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:42:44	13:42:44	13:42:44			13:42:44	13:42:44	13:42:48	13:42:48	13:42:48	13:42:48	13:42:48	13:43:05	13:43:05	13:43:05	13:43:05	13:43:05	13:43:05			13:43:07	13:43:07		00:00:00		00:00:03	00:00:03	00:00:00	00:00:17	00:00:00	00:00:00		00:00:01	00:00:22
1	13:43:07	13:43:07	13:43:07	13:43:07	13:43:07	13:43:07	13:43:07	13:43:11	13:43:11	13:43:11	13:43:11	13:43:11	13:43:25	13:43:25	13:43:25	13:43:25	13:43:25	13:43:25			13:43:26	13:43:26		00:00:00	00:00:00	00:00:03	00:00:03	00:00:00	00:00:14	00:00:00	00:00:00		00:00:00	00:00:19
2	13:43:26	13:43:26	13:43:26	13:43:26	13:43:27	13:43:27			13:43:27	13:43:27	13:43:27	13:43:27	13:43:42	13:43:42	13:43:42	13:43:42	13:43:42	13:43:42			13:43:42	13:43:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:14	00:00:00	00:00:00		00:00:00	00:00:16
3	13:43:42	13:43:42	13:43:42	13:43:42	13:43:43	13:43:43			13:43:43	13:43:43	13:43:43	13:43:43	13:43:56	13:43:56	13:43:56	13:43:56	13:43:56	13:43:56			13:43:57	13:43:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:00	00:00:14
4	13:43:57	13:43:57	13:43:57	13:43:57	13:43:57	13:43:57			13:43:57	13:43:57	13:43:57	13:43:57	13:44:11	13:44:11	13:44:11	13:44:11	13:44:11	13:44:11			13:44:11	13:44:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:00	00:00:14
5	13:44:11	13:44:11	13:44:11	13:44:11	13:44:12	13:44:12			13:44:12	13:44:12	13:44:12	13:44:12	13:44:24	13:44:24	13:44:24	13:44:24	13:44:24	13:44:24			13:44:25	13:44:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
6	13:44:25	13:44:25	13:44:25	13:44:25	13:44:25	13:44:25			13:44:25	13:44:25	13:44:25	13:44:25	13:44:37	13:44:37	13:44:37	13:44:37	13:44:37	13:44:37			13:44:37	13:44:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
7	13:44:37	13:44:37	13:44:37	13:44:37	13:44:38	13:44:38			13:44:38	13:44:38	13:44:38	13:44:38	13:44:50	13:44:50	13:44:50	13:44:50	13:44:50	13:44:50			13:44:50	13:44:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
8	13:44:50	13:44:50	13:44:50	13:44:50	13:44:51	13:44:51			13:44:51	13:44:51	13:44:51	13:44:51	13:45:02	13:45:02	13:45:02	13:45:02	13:45:02	13:45:02			13:45:03	13:45:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
9	13:45:03	13:45:03	13:45:03	13:45:03	13:45:03	13:45:03			13:45:03	13:45:03	13:45:03	13:45:03	13:45:14	13:45:14	13:45:14	13:45:14	13:45:14	13:45:14			13:45:14	13:45:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
