Iteration	car_travel	car_wait	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	8194	0	7984	153	0	0	7927	0
1	8169	0	4197	217	0	0	15318	0
2	37936	0	7201	7746	0	0	27113	0
3	53344	0	10169	7573	0	0	37788	0
4	39354	0	9063	6340	0	0	42510	0
5	28697	0	7646	5058	0	0	46906	0
6	21985	0	6873	4301	0	0	50946	0
7	17885	0	6272	4029	0	0	54483	0
8	14628	0	5729	3663	0	0	58032	0
9	12500	0	5406	3561	0	0	61111	0
10	10802	0	4956	3483	0	0	63801	0
11	9437	0	4597	3485	0	0	66395	0
12	8435	0	4326	3569	0	0	68959	0
13	7591	0	4036	3677	0	0	71484	0
14	7013	0	3906	3749	0	0	73459	0
15	6547	0	3843	3848	0	0	75676	0
16	6162	0	3803	3996	0	0	77641	0
17	5864	0	3806	4106	0	0	79196	0
18	5539	0	3778	4244	0	0	81084	0
19	5271	0	3774	4290	0	0	82858	0
20	4990	0	3780	4341	0	0	84519	0
21	4826	0	3815	4316	0	0	85872	0
22	4646	0	3823	4364	0	0	87193	0
23	4488	0	3835	4476	0	0	88440	0
24	4321	0	3856	4492	0	0	89938	0
25	4153	0	3875	4677	0	0	91278	0
26	3971	0	3934	4833	0	0	92606	0
27	3844	0	3956	4705	0	0	93799	0
28	3715	0	3951	4689	0	0	94985	0
29	3604	0	3953	4707	0	0	96022	0
30	3463	0	3964	4680	0	0	97359	0
31	3365	0	3990	4803	0	0	98127	0
32	3248	0	3998	4865	0	0	99161	0
33	3117	0	3996	4745	0	0	100421	0
34	2995	0	4016	4699	0	0	101521	0
35	2894	0	3978	4575	0	0	102574	0
36	2790	0	3966	4730	0	0	103645	0
37	2697	0	3943	4579	0	0	104861	0
38	2599	0	3931	4382	0	0	105895	0
39	2512	0	3942	4502	0	0	106692	0
40	2430	0	3952	4489	0	0	107468	0
41	2355	0	3911	4327	0	0	108310	0
42	2257	0	3913	4239	0	0	109226	0
43	2170	0	3907	4287	0	0	110175	0
44	2063	0	3897	4185	0	0	111301	0
45	1997	0	3865	4090	0	0	112108	0
46	1932	0	3844	4043	0	0	112926	0
47	1873	0	3788	3946	0	0	113708	0
48	1815	0	3780	3824	0	0	114402	0
49	1736	0	3769	3902	0	0	115373	0
50	1681	0	3745	3868	0	0	116144	0
51	1596	0	3738	3841	0	0	116970	0
52	1536	0	3721	3849	0	0	117717	0
53	1489	0	3685	3813	0	0	118255	0
54	1438	0	3633	3646	0	0	118980	0
55	1389	0	3605	3469	0	0	119690	0
56	1333	0	3582	3433	0	0	120293	0
57	1285	0	3563	3371	0	0	121055	0
58	1247	0	3523	3268	0	0	121628	0
59	1237	0	3440	3187	0	0	122120	0
60	1191	0	3398	3049	0	0	122853	0
61	1145	0	3335	2934	0	0	123629	0
62	1100	0	3290	2812	0	0	124138	0
63	1064	0	3242	2768	0	0	124712	0
64	1028	0	3218	2711	0	0	125295	0
65	1000	0	3183	2640	0	0	125821	0
66	959	0	3149	2558	0	0	126491	0
67	948	0	3136	2530	0	0	126604	0
68	911	0	3094	2465	0	0	127188	0
69	886	0	3043	2405	0	0	127706	0
70	875	0	3010	2395	0	0	128051	0
71	847	0	2991	2369	0	0	128350	0
72	817	0	2971	2293	0	0	128836	0
73	821	0	2892	2230	0	0	129207	0
74	783	0	2850	2148	0	0	129770	0
