ITERATION	avg. Average Leg distance	avg. Average Trip distance
137	2404.147855478296	2997.195765423174	
138	2418.3497261617713	2995.5178720174044	
139	2416.1533806239954	2985.61984855278	
140	2421.310248455671	2988.3937175357837	
141	2422.5781192002532	2988.2015778241334	
142	2433.6163983362694	2982.1899273010463	
143	2435.148964770163	2985.1203086623755	
144	2434.935866317049	2986.3252268120423	
145	2441.3034777079943	2986.9468504036618	
146	2438.877323165923	2983.7464680905555	
147	2450.1786530276477	2976.4663048203965	
148	2445.622596507395	2978.3488089245707	
149	2451.4108994987187	2981.1035928118854	
150	2456.549251309568	2974.5829461196713	
