ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2062.5382808464665	3365.815860100009	
1	2181.572115811314	3325.507242777801	
2	2610.584986170019	4218.127219467139	
3	3116.1841391884154	4920.799681165928	
4	3017.6476430680295	4836.918558353889	
5	2938.600825870809	4752.385891559586	
6	2859.3702317296897	4665.794628393826	
7	2789.695164395461	4589.84621715451	
8	2720.5272747636604	4511.13944847566	
9	2654.227088105465	4444.307765787912	
10	2595.213884000768	4380.021244838057	
11	2545.7029009475455	4330.600501441893	
12	2495.113116993481	4278.209767049885	
13	2450.4529770265167	4222.318975799537	
14	2407.765105680733	4180.053126817339	
15	2369.1784154190805	4138.099058204003	
16	2334.888280359839	4099.948338974981	
17	2301.1200916673292	4069.1825268174007	
18	2271.915663557734	4036.073977887573	
19	2242.584974226791	3998.1789300936684	
20	2212.6503823516114	3964.6191157228227	
21	2193.553917456647	3943.3376118786696	
22	2174.648696196554	3918.53027876416	
23	2155.527035856687	3896.3502494064787	
24	2138.676703802561	3869.6815930011826	
25	2123.1129697842007	3847.905613053187	
26	2097.958179767321	3825.1382315802816	
27	2083.547803795626	3803.9176935329037	
28	2070.375816398173	3781.367140899847	
29	2058.5561611601374	3762.279992936139	
30	2048.1595018247026	3745.2024674847357	
31	2036.7998704029485	3730.993099901594	
32	2026.516354928331	3713.3123364826342	
33	2012.3423049721619	3690.1156550907904	
34	2000.5192716886766	3673.215964353634	
35	1993.0704869395558	3651.103242160667	
36	1984.0723982250702	3632.6381774993	
37	1981.5303132832296	3618.0656211245423	
38	1976.0629089206009	3602.162280910025	
39	1969.121557659339	3589.4854902508955	
40	1961.8920786253352	3575.817137527299	
41	1961.230282746929	3560.737044197305	
42	1953.3771219983403	3545.550173393421	
43	1947.622726698344	3530.8104466620157	
44	1939.003675049735	3512.88447230057	
45	1938.1244909209736	3499.7537249502843	
46	1936.2474849817554	3489.135923864341	
47	1935.5634042038262	3471.10423492917	
48	1937.2663472508286	3463.7705016961495	
49	1933.2030981618868	3451.430257867854	
50	1931.0124051428866	3443.4053810220066	
51	1924.6823148409565	3427.5409013288254	
52	1924.9946302363337	3417.660779136746	
53	1926.7166931715276	3406.6302820711417	
54	1927.2903647234941	3392.613055648506	
55	1930.915121571933	3384.1634861049024	
56	1931.2503318083707	3373.3393621205396	
57	1930.8642145355116	3365.387742084074	
58	1934.9026540283412	3356.392426917644	
59	1944.2117295760822	3345.3339978944064	
60	1948.1403191905563	3335.3014619360374	
61	1951.7024477444068	3321.3051736469847	
62	1951.3558607813409	3306.5633420758513	
63	1955.180304671855	3296.3303186778317	
64	1958.3844446964633	3289.485149949728	
65	1960.8865468825124	3282.2177419563463	
66	1963.9955737288988	3274.8826443404832	
67	1967.4293046160344	3270.994489694467	
68	1968.729629300207	3261.0551588796034	
69	1977.4417285324491	3252.9398393167908	
70	1981.707724664164	3248.1774839917075	
71	1980.8110378453587	3242.4682692148676	
72	1986.2732601269802	3237.5253535536926	
73	1994.3720903051415	3229.6213358698346	
74	1996.6074030829284	3218.5235375936136	
75	1999.30600632767	3211.8681035192894	
76	2004.5533210257488	3201.30335093073	
77	2014.4348068242812	3196.2956368368577	
78	2018.802091846208	3189.1048336510044	
79	2029.0598659450325	3188.31355740828	
80	2034.388209397558	3178.395979318919	
81	2042.0756658816845	3170.7163920716957	
82	2052.2643604504487	3164.854694643714	
83	2057.4950195367146	3162.5882902844332	
84	2062.6606246477418	3153.8340032676524	
85	2071.65006874286	3148.414822376555	
86	2080.619898944043	3141.2635727881016	
87	2087.5796361024177	3137.6488222184694	
88	2091.3387742477285	3134.8201003546646	
89	2105.770148354109	3131.729179736987	
90	2110.6096838046856	3128.1853104376846	
91	2117.167766873825	3122.6643242269674	
92	2128.0695035467866	3117.8204357694326	
93	2126.9416271708496	3113.2687099180553	
94	2137.2950368436595	3107.603097500836	
95	2145.573702727005	3097.49825230094	
96	2157.772506238802	3094.6629108023626	
97	2168.883993093179	3096.261759442045	
98	2168.7989955745115	3089.676970093335	
99	2175.363320978449	3083.1914975289724	
100	2184.4378377334756	3086.6514395052413	
101	2192.864551491725	3079.839285843169	
102	2193.4068396080684	3073.42541507032	
103	2200.62398657887	3070.355796849406	
104	2209.593374353122	3069.8400113352563	
105	2220.37665167564	3065.6033742217182	
106	2222.586528835598	3063.1581312878675	
107	2234.1606096666364	3064.0751749790174	
108	2237.3787703521575	3055.9141325405194	
109	2243.7876192962663	3054.8164054316258	
110	2251.9519572088375	3049.70680820152	
111	2258.933869459406	3050.648428225235	
112	2268.590893096606	3047.695833507836	
113	2274.204107101683	3045.6922272768384	
114	2277.806851368866	3036.153225422949	
115	2288.0145844813896	3038.3179761014785	
116	2289.417409281516	3034.383109847748	
117	2300.349632015979	3030.6445683651727	
118	2306.1467103960954	3028.342696031967	
119	2310.50871918986	3031.021538065509	
120	2320.4398415705446	3023.772302883105	
121	2325.444354725538	3022.4970603650604	
122	2334.4066494872663	3018.131626423645	
123	2335.5730713272605	3018.611057718141	
124	2340.087187697835	3015.5992185776768	
125	2348.013075061467	3009.482220389983	
126	2349.0805493135576	3012.2081591176056	
127	2351.8204792044357	3011.8177517183044	
128	2359.45517865143	3006.7489792322635	
129	2370.9293220857953	3003.2523104703937	
130	2380.1942845710287	3002.3104556804033	
131	2382.879182904819	2999.702296266497	
132	2382.2383477167805	2997.8647027990764	
133	2384.2219663896417	2999.87307014255	
134	2387.669926773906	2999.4198604557237	
135	2399.809082891941	2996.7227176937754	
136	2407.3819189135897	2995.0452830692643	
