pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	554	2112	1423	1275	846	795	473	406	222	83	87	16	5
home---secondary	234	374	324	628	921	1353	1601	1887	1978	2000	1679	1665	9501
home---work	801	1054	759	1308	2372	3168	3827	4310	4752	4735	4231	3991	16360
pt interaction---home	535	2083	1419	1305	842	738	482	440	235	80	91	17	7
pt interaction---pt interaction	12104	16993	1498	41	0	1	0	0	0	0	0	0	0
pt interaction---secondary	795	957	461	350	202	157	70	21	14	19	13	2	0
pt interaction---work	1155	1565	834	619	507	411	94	18	11	10	12	0	0
secondary---home	265	337	330	630	923	1353	1600	1892	1977	2000	1678	1665	9498
secondary---pt interaction	848	998	391	334	204	155	57	22	12	18	17	2	0
work---home	849	970	801	1312	2374	3166	3835	4320	4765	4730	4229	3987	16350
work---pt interaction	1145	1577	794	577	588	401	91	11	10	10	12	0	0

average leg duration: 2434.770299125462 seconds = 00:40:34
